127.0.0.1 - - [14/Mar/2024:09:04:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:04:54 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:04:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:10:22 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:10:45 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:13:11 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:14:57 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:14:58 +0900] "GET /client/html/ex18.jsp?data= HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:16:45 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:16:46 +0900] "GET /client/html/ex18.jsp?data= HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:16:50 +0900] "GET /client/html/ex18.jsp?data=%A4%B7%A4%B7%A4%B7%A4%B7 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:16:54 +0900] "GET /client/html/ex18.jsp?data=%A4%B7%A4%B7%A4%B7%A4%B7 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:17:15 +0900] "GET /client/html/ex18.jsp?data=%A4%B7%A4%B7%A4%B7%A4%B7 HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:17:18 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:17:41 +0900] "GET /client/html/ex18.jsp?data=aaa HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:17:51 +0900] "GET /client/html/ex18.jsp?data=aaa HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:17:52 +0900] "GET /client/html/ex18.jsp?data=aaa HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:17:54 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:18:02 +0900] "GET /client/html/ex18.jsp?data=JSP HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:18:41 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:18:46 +0900] "GET /client/html/ex18.jsp?data=aaa HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:18:57 +0900] "GET /client/html/ex18_form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:18:59 +0900] "GET /client/html/ex18.jsp?data=aa HTTP/1.1" 200 188
